LAT     ,LON      ,DEPTH,MAG,DATE      ,TIME       
29.7268,81.6978,15.5,5.1,1/9/2013,44:16.9
27.3192,88.4723,18.9,5.1,10/3/2013,12:40.6
29.1941,85.4875,3.4,5.1,8/3/2014,57:29.3
27.7884,85.1449,12.1,5.1,4/25/2015,22:03.2
27.8009,85.8073,14.7,5.1,4/25/2015,37:59.5
27.7032,85.9789,13.3,5.1,4/25/2015,58:28.1
28.0803,84.6417,15.1,5.1,4/25/2015,44:05.9
27.669,86.088,20.3,5.1,5/12/2015,06:07.6
27.7404,85.8442,9.5,5.1,5/12/2015,13:53.7
27.7651,84.7136,2.5,5.1,5/12/2015,25:11.3
27.7509,86.0641,8.7,5.1,8/23/2015,02:04.1
28.4487,87.428,12.7,5.1,5/22/2016,05:55.3
29.9358,80.545,23.8,5.1,12/1/2016,52:48.6
30.595,79.0957,12.8,5.1,12/6/2017,19:49.8
29.8846,95.0187,19.3,5.1,12/19/2017,40:54.1
34.2345,78.1819,11,5.1,10/29/2018,43:35.9
35.0082,74.4632,9.3,5.1,1/12/2020,23:55.8
34.2598,78.1806,8.5,5.1,9/25/2020,57:13.0
27.1308,88.8996,19.5,5.1,4/5/2021,19:59.1
35.5603,75.0265,15.9,5.1,3/16/2022,35:23.6
29.8243,80.267,10,5,5/13/1965,51:15.0
34.8862,73.0136,24,5,4/6/1966,51:51.6
35.6772,72.1968,92.9,5,6/11/1966,08:49.3
37.4108,71.8621,109.7,5,12/19/1967,23:52.8
30.3694,79.2792,24,5,1/5/1968,42:49.1
34.7413,72.3854,28.8,5,3/3/1968,31:21.7
37.3755,73.0836,12.8,5,10/19/1968,33:25.2
26.7967,92.6629,58.4,5,6/30/1969,51:57.2
27.9666,84.7519,12,5,7/21/1970,37:43.1
27.762,87.7669,35,5,12/4/1971,38:03.3
33.9007,72.7369,34,5,3/10/1972,36:17.8
36.0828,73.6648,31.3,5,4/2/1972,34:27.8
35.0565,72.8468,24,5,9/27/1972,24:55.2
28.2085,87.1235,28.6,5,3/22/1973,06:58.9
27.3671,92.4163,18,5,7/4/1973,44:13.4
29.3693,89.0395,91.6,5,8/1/1973,05:19.6
27.4549,85.8967,19,5,3/24/1974,17:38.4
35.0201,73.0053,24,5,12/28/1974,28:17.7
31.9399,78.605,12,5,1/19/1975,04:34.6
32.3233,78.5795,13,5,1/27/1975,10:17.3
32.1483,78.8224,35,5,3/10/1975,07:03.2
35.5513,74.7988,25,5,3/23/1975,19:35.2
27.4852,87.0013,35,5,4/24/1975,35:54.6
